city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
luderitz,na,3355672.0,-26.65,15.16,58.8,92.0,20.0,12.55,1553475136.0
ratnagiri,in,1258338.0,16.98,73.3,76.89,100.0,0.0,2.48,1553474868.0
camacha,pt,2270385.0,33.08,-16.33,63.64,77.0,40.0,19.46,1553472000.0
rawson,ar,3839307.0,-43.3,-65.11,52.5,65.0,0.0,8.19,1553475086.0
nagahama,jp,1856243.0,35.49,136.29,48.0,70.0,24.0,1.01,1553474613.0
shenzhen,cn,1795565.0,22.54,114.05,62.65,93.0,75.0,8.95,1553475086.0
elizabeth city,us,4465088.0,36.3,-76.22,59.11,43.0,1.0,8.05,1553475137.0
san marcos,co,3669346.0,8.66,-75.13,84.18,77.0,20.0,2.59,1553475139.0
kondopoga,ru,545626.0,62.21,34.27,33.8,64.0,0.0,8.95,1553472000.0
waddan,ly,2209055.0,29.16,16.14,45.57,88.0,0.0,5.28,1553475140.0
yellowknife,ca,6185377.0,62.45,-114.38,28.47,54.0,20.0,18.34,1553474732.0
victoria,sc,241131.0,-4.62,55.45,82.4,83.0,20.0,5.82,1553472000.0
albany,au,2077963.0,-35.02,117.88,59.0,67.0,75.0,1.12,1553472000.0
tasiilaq,gl,3424607.0,65.61,-37.64,21.2,79.0,92.0,35.57,1553471400.0
hasaki,jp,2112802.0,35.73,140.83,50.67,61.0,40.0,8.05,1553474892.0
kavieng,pg,2094342.0,-2.57,150.8,84.0,100.0,64.0,8.3,1553475100.0
bubaque,gw,2374583.0,11.28,-15.83,77.07,100.0,80.0,14.67,1553475144.0
hithadhoo,mv,1282256.0,-0.6,73.08,83.28,100.0,88.0,8.19,1553474969.0
saldanha,za,3361934.0,-33.01,17.94,59.0,87.0,0.0,8.05,1553472000.0
peta,gr,255458.0,39.17,21.03,45.07,93.0,20.0,1.92,1553475060.0
zhezkazgan,kz,1516589.0,47.8,67.71,23.61,83.0,44.0,3.15,1553474976.0
shingu,jp,1847947.0,33.72,135.99,55.4,100.0,40.0,4.7,1553472000.0
castro,cl,3896218.0,-42.48,-73.76,50.0,87.0,0.0,8.05,1553472000.0
bowen,au,2174444.0,-20.01,148.25,85.66,74.0,75.0,8.05,1553474790.0
caravelas,br,3466980.0,-17.73,-39.27,82.47,100.0,80.0,13.67,1553474933.0
mar del plata,ar,3863379.0,-46.43,-67.52,54.03,90.0,0.0,5.73,1553474860.0
chuy,uy,3443061.0,-33.69,-53.46,63.57,77.0,0.0,16.69,1553474948.0
isangel,vu,2136825.0,-19.55,169.27,86.0,62.0,75.0,11.41,1553472000.0
saint-philippe,re,935215.0,-21.36,55.77,74.75,69.0,0.0,5.82,1553474802.0
bethel,us,5880568.0,60.79,-161.76,37.85,93.0,90.0,11.41,1553472720.0
suining,cn,1793900.0,30.51,105.57,43.23,87.0,12.0,2.82,1553475150.0
inirida,co,3671450.0,3.87,-67.92,76.08,95.0,12.0,1.92,1553475151.0
martapura,id,1636022.0,-3.41,114.85,78.8,94.0,20.0,2.24,1553472000.0
esperance,au,2071860.0,-33.86,121.89,59.0,58.0,90.0,6.93,1553472000.0
cape town,za,3369157.0,-33.93,18.42,65.19,88.0,20.0,13.87,1553475097.0
fortuna,us,5563839.0,40.6,-124.16,59.09,100.0,1.0,11.41,1553475127.0
rio gallegos,ar,3838859.0,-51.62,-69.22,53.6,54.0,75.0,11.41,1553472000.0
san juan,ar,3837213.0,-31.54,-68.53,65.37,51.0,80.0,2.15,1553475154.0
opuwo,na,3354077.0,-18.06,13.84,63.03,74.0,12.0,1.03,1553475154.0
ankang,cn,1789065.0,32.73,108.99,37.83,82.0,0.0,1.92,1553475154.0
qeshm,ir,119374.0,26.96,56.27,67.19,77.0,20.0,6.93,1553472000.0
talcahuano,cl,3870282.0,-36.72,-73.12,59.0,67.0,0.0,16.11,1553472000.0
nome,us,4732862.0,30.04,-94.42,70.92,78.0,90.0,6.93,1553475028.0
faanui,pf,4034551.0,-16.48,-151.75,85.8,97.0,12.0,13.44,1553475156.0
tuktoyaktuk,ca,6170031.0,69.44,-133.03,23.0,79.0,75.0,10.29,1553472000.0
san cristobal,ec,3652567.0,-1.02,-79.44,63.48,100.0,92.0,1.36,1553475157.0
moose factory,ca,6078372.0,51.26,-80.61,14.0,47.0,90.0,11.41,1553472000.0
deniliquin,au,2169068.0,-35.53,144.96,66.9,69.0,20.0,17.58,1553475158.0
khandyga,ru,2022773.0,62.65,135.58,3.09,63.0,0.0,2.59,1553475158.0
beinamar,td,2435708.0,8.67,15.38,82.38,47.0,80.0,8.97,1553475159.0
kruisfontein,za,986717.0,-34.0,24.73,66.0,91.0,80.0,12.44,1553474897.0
eyl,so,60019.0,7.98,49.82,77.97,100.0,100.0,5.73,1553475160.0
namatanai,pg,2090021.0,-3.66,152.44,81.75,100.0,48.0,7.74,1553475157.0
bluff,nz,2206939.0,-46.6,168.33,66.0,88.0,56.0,7.63,1553474405.0
carnarvon,au,2074865.0,-24.87,113.63,84.2,42.0,0.0,10.29,1553472000.0
mangaratiba,br,3457991.0,-22.96,-44.04,81.99,74.0,40.0,3.36,1553475054.0
paamiut,gl,3421193.0,61.99,-49.67,36.21,82.0,76.0,40.85,1553475162.0
xining,cn,1788852.0,36.62,101.77,13.98,49.0,0.0,2.71,1553475162.0
walvis bay,na,3359638.0,-22.95,14.51,60.31,77.0,68.0,6.93,1553472149.0
nishihara,jp,1850144.0,35.74,139.53,49.24,42.0,40.0,3.36,1553475157.0
manokwari,id,1636308.0,-0.87,134.08,81.75,97.0,56.0,5.95,1553475062.0
bambous virieux,mu,1106677.0,-20.34,57.76,78.13,83.0,75.0,11.41,1553474939.0
punto fijo,ve,3629576.0,11.69,-70.21,82.11,62.0,0.0,24.85,1553475164.0
cidreira,br,3466165.0,-30.17,-50.22,72.03,69.0,20.0,10.54,1553475165.0
amahai,id,1651591.0,-3.31,129.0,82.92,100.0,12.0,7.74,1553475063.0
vardo,no,777019.0,70.37,31.11,26.6,79.0,75.0,25.28,1553471400.0
salinopolis,br,3389822.0,-0.61,-47.36,80.49,98.0,88.0,11.77,1553475166.0
dodge city,us,5445298.0,37.75,-100.02,54.61,50.0,1.0,12.75,1553475023.0
clyde river,ca,5924351.0,70.47,-68.59,-14.81,75.0,90.0,35.57,1553474040.0
champerico,gt,3598787.0,14.3,-91.92,82.4,65.0,75.0,6.93,1553472000.0
brooks,ca,5909514.0,50.57,-111.89,34.0,90.0,92.0,4.0,1553474732.0
